RMC Stringfellow Memorial Hospital,125,Anniston,AL
Andalusia Health,83,Andalusia,AL
Athens-Limestone Hospital,66,Athens,AL
Atmore Community Hospital,49,Atmore,AL
Baptist Medical Center East,184,Montgomery,AL
Baptist Medical Center South,386,Montgomery,AL
Baypointe Children's  Hospital,0,Mobile,AL
Beacon Behavioral Hospital ,0,Luverne,AL
Bibb Medical Center,156,Centreville,AL
Birmingham VA Medical Center,0,Birmingham,AL
Brookwood Baptist  Medical Center,595,Birmingham,AL
Bryan W. Whitfield Memorial Hospital,57,Demopolis,AL
Bryce Hospital,98,Tuscaloosa,AL
Bullock County Hospital,54,Union Springs,AL
Central Alabama Veterans Health Care System - East Campus,0,Tuskegee,AL
Central Alabama Veterans Health Care System - West Campus,0,Montgomery,AL
Cherokee Medical Center,45,Centre,AL
Children's Hospital of Alabama,341,Birmingham,AL
Choctaw General Hospital,25,Butler,AL
Citizens Baptist Medical Center,103,Talladega,AL
Clay County Hospital,129,Ashland,AL
Community Hospital,47,Tallassee,AL
Coosa Valley Medical Center,142,Sylacauga,AL
Crenshaw Community Hospital,49,Luverne,AL
Crestwood Medical Center,190,Huntsville,AL
Crossbridge Behavioral Health,0,Montgomery,AL
Cullman Regional Medical Center,133,Cullman,AL
D.W. McMillan Memorial Hospital,46,Brewton,AL
Dale Medical Center,89,Ozark,AL
DCH Regional Medical Center,620,Tuscaloosa,AL
Decatur Morgan Hospital,330,Decatur,AL
Decatur Morgan Hospital-Parkway Campus,120,Decatur,AL
DeKalb Regional Medical Center,115,Fort Payne,AL
East Alabama Medical Center,339,Opelika,AL
East Alabama Medical Center - Lanier,187,Valley,AL
EastPointe Hospital ,66,Daphne,AL
Elmore Community Hospital,33,Wetumpka,AL
Encompass Health Lakeshore Rehabilitation Hospital,100,Birmingham,AL
Encompass Health Rehabilitation Hospital of Dothan,51,Dothan,AL
Encompass Health Rehabilitation Hospital of Gadsden,44,Gadsden,AL
Encompass Health Rehabilitation Hospital of Montgomery,70,Montgomery,AL
